Sente \ Gote,1c1d,2c2d,3c3d,4c4d,5c5d,6c6d,7c7d,8c8d,9c9d,1a1b,9a9b,2a3b,2a1b,8a7b,8a9b,3a4b,3a3b,3a2b,7a6b,7a7b,7a8b,4a5b,4a4b,4a3b,6a5b,6a6b,6a7b,5a6b,5a5b,5a4b
1g1f,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,170.0,184.0,194.0
2g2f,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,178.0,184.0,194.0
3g3f,36.0,36.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,35.0,35.0,34.0,36.0,34.0,36.0,34.0,42.0,-20.0,34.0,42.0,12.0,34.0,34.0,34.0,34.0,34.0,34.0,176.0,182.0,192.0
4g4f,36.0,36.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,35.0,35.0,34.0,36.0,34.0,36.0,34.0,42.0,-20.0,34.0,42.0,12.0,34.0,34.0,34.0,34.0,34.0,34.0,176.0,182.0,192.0
5g5f,36.0,36.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,35.0,35.0,34.0,36.0,34.0,36.0,34.0,42.0,-20.0,34.0,42.0,12.0,34.0,34.0,34.0,34.0,34.0,34.0,176.0,182.0,192.0
6g6f,36.0,36.0,38.0,38.0,38.0,38.0,38.0,36.0,36.0,35.0,35.0,34.0,36.0,34.0,36.0,34.0,42.0,-20.0,34.0,42.0,12.0,34.0,34.0,34.0,34.0,34.0,34.0,176.0,182.0,192.0
7g7f,70.0,70.0,82.0,62.0,72.0,72.0,72.0,70.0,70.0,69.0,69.0,68.0,70.0,68.0,70.0,68.0,76.0,14.0,68.0,76.0,46.0,68.0,68.0,68.0,68.0,68.0,68.0,210.0,216.0,226.0
8g8f,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,178.0,184.0,194.0
9g9f,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,178.0,184.0,186.0
1i1h,39.0,39.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,38.0,38.0,37.0,39.0,37.0,39.0,37.0,45.0,-17.0,37.0,45.0,15.0,37.0,37.0,37.0,37.0,37.0,37.0,179.0,185.0,195.0
9i9h,39.0,39.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,38.0,38.0,37.0,39.0,37.0,39.0,37.0,45.0,-17.0,37.0,45.0,15.0,37.0,37.0,37.0,37.0,37.0,37.0,179.0,185.0,195.0
2i3h,40.0,40.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,39.0,38.0,40.0,38.0,40.0,38.0,46.0,-16.0,38.0,46.0,16.0,38.0,38.0,38.0,38.0,38.0,38.0,180.0,186.0,196.0
2i1h,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,178.0,184.0,194.0
8i7h,40.0,40.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,39.0,38.0,40.0,38.0,40.0,38.0,46.0,-16.0,38.0,46.0,16.0,38.0,38.0,38.0,38.0,38.0,38.0,180.0,186.0,196.0
8i9h,38.0,38.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,37.0,36.0,38.0,36.0,38.0,36.0,44.0,-18.0,36.0,44.0,14.0,36.0,36.0,36.0,36.0,36.0,36.0,178.0,184.0,194.0
3i4h,40.0,40.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,39.0,38.0,40.0,38.0,40.0,38.0,46.0,-16.0,38.0,46.0,16.0,38.0,38.0,38.0,38.0,38.0,38.0,180.0,186.0,196.0
3i3h,32.0,32.0,34.0,34.0,34.0,34.0,34.0,32.0,32.0,31.0,31.0,30.0,32.0,30.0,32.0,30.0,38.0,-24.0,30.0,38.0,8.0,30.0,30.0,30.0,30.0,30.0,30.0,172.0,178.0,188.0
3i2h,62.0,62.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,61.0,61.0,60.0,62.0,60.0,62.0,60.0,68.0,6.0,60.0,68.0,38.0,60.0,60.0,60.0,60.0,60.0,60.0,200.0,206.0,216.0
